,event,number_of_frames
341,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926110653047__20120926110654844@DVR-1_Ch2__3,800
342,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923174713579__20120923174714157@DVR-1_Ch2__2,800
343,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923160026985__20120923160027532@DVR-1_Ch2__1,294
344,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923235119593__20120923235120546@DVR-1_Ch2__0,800
345,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007004735281__20121007004736125@DVR-1_Ch2__1,673
346,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007021739687__20121007021740469@DVR-1_Ch2__18,57
347,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007021739687__20121007021740469@DVR-1_Ch2__1,529
348,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007064602625__20121007064604437@DVR-1_Ch2__4,800
349,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923112913625__20120923112914391@DVR-1_Ch2__1,143
350,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923183410234__20120923183410859@DVR-1_Ch2__1,800
351,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007014738062__20121007014738859@DVR-1_Ch2__0,788
352,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007014738062__20121007014738859@DVR-1_Ch2__5,270
353,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923232118984__20120923232119391@DVR-1_Ch2__23,477
354,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__5,431
355,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923151741031__20120923151743031@DVR-1_Ch2__1,800
356,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007014738062__20121007014738859@DVR-1_Ch2__17,800
357,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007071603797__20121007071605609@DVR-1_Ch2__1,800
358,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007011736922__20121007011737719@DVR-1_Ch2__3,567
359,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__14,423
360,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923160026985__20120923160027532@DVR-1_Ch2__2,432
361,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923190412047__20120923190412953@DVR-1_Ch2__14,240
362,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007014738062__20121007014738859@DVR-1_Ch2__14,105
363,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007024740828__20121007024741609@DVR-1_Ch2__1,800
364,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007041743672__20121007041744453@DVR-1_Ch2__3,800
365,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007024740828__20121007024741609@DVR-1_Ch2__0,544
366,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927053113750__20120927053114813@DVR-1_Ch2__5,800
367,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926155215766__20120926155216469@DVR-1_Ch2__0,800
368,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__17,206
369,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007041743672__20121007041744453@DVR-1_Ch2__10,766
370,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007014738062__20121007014738859@DVR-1_Ch2__10,800
371,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926135034484__20120926135034843@DVR-1_Ch2__7,800
372,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923183410234__20120923183410859@DVR-1_Ch2__11,137
373,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007031741969__20121007031742766@DVR-1_Ch2__6,800
374,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007004735281__20121007004736125@DVR-1_Ch2__0,800
375,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007014738062__20121007014738859@DVR-1_Ch2__13,77
376,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923093608734__20120923093609281@DVR-1_Ch2__0,800
377,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007041743672__20121007041744453@DVR-1_Ch2__8,334
378,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007061601500__20121007061602312@DVR-1_Ch2__4,800
379,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007071603797__20121007071605609@DVR-1_Ch2__4,800
380,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927150533375__20120927150533750@DVR-1_Ch2__1,800
381,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923212128015__20120923212128422@DVR-1_Ch2__28,230
382,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__11,800
383,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923160026985__20120923160027532@DVR-1_Ch2__3,800
384,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007044745828__20121007044746610@DVR-1_Ch2__0,362
385,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927171205859__20120927171206656@DVR-1_Ch2__0,800
386,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923132307000__20120923132307453@DVR-1_Ch2__4,102
387,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007084607641__20121007084609484@DVR-1_Ch2__24,800
388,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927032216687__20120927032217734@DVR-1_Ch2__0,800
389,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007084607641__20121007084609484@DVR-1_Ch2__16,800
390,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926125621609__20120926125621922@DVR-1_Ch2__0,800
391,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007041743672__20121007041744453@DVR-1_Ch2__4,517
392,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007071603797__20121007071605609@DVR-1_Ch2__0,800
393,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007024740828__20121007024741609@DVR-1_Ch2__5,110
394,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__0,800
395,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007084607641__20121007084609484@DVR-1_Ch2__17,800
396,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__6,67
397,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007034742078__20121007034742859@DVR-1_Ch2__6,325
398,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007014738062__20121007014738859@DVR-1_Ch2__3,345
399,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923160026985__20120923160027532@DVR-1_Ch2__5,800
400,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923183410234__20120923183410859@DVR-1_Ch2__0,800
401,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923112913625__20120923112914391@DVR-1_Ch2__8,212
402,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923212128015__20120923212128422@DVR-1_Ch2__23,800
403,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007064602625__20121007064604437@DVR-1_Ch2__8,800
404,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923212128015__20120923212128422@DVR-1_Ch2__35,502
405,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926145037000__20120926145037688@DVR-1_Ch2__0,800
406,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923132307000__20120923132307453@DVR-1_Ch2__1,94
407,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007044745828__20121007044746610@DVR-1_Ch2__3,758
408,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007091608734__20121007091610593@DVR-1_Ch2__0,800
409,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927074713812__20120927074715687@DVR-1_Ch2__2,800
410,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923151741031__20120923151743031@DVR-1_Ch2__4,106
411,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923215129593__20120923215130500@DVR-1_Ch2__13,800
412,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923132307000__20120923132307453@DVR-1_Ch2__5,213
413,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007031741969__20121007031742766@DVR-1_Ch2__0,335
414,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923112913625__20120923112914391@DVR-1_Ch2__0,601
415,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007031741969__20121007031742766@DVR-1_Ch2__8,800
416,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923112913625__20120923112914391@DVR-1_Ch2__6,338
417,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007084607641__20121007084609484@DVR-1_Ch2__19,548
418,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007021739687__20121007021740469@DVR-1_Ch2__6,202
419,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926152214375__20120926152214766@DVR-1_Ch2__2,800
420,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923112913625__20120923112914391@DVR-1_Ch2__4,119
421,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__23,125
422,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007074604922__20121007074606750@DVR-1_Ch2__2,800
423,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007031741969__20121007031742766@DVR-1_Ch2__7,800
424,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__13,167
425,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923130505000__20120923130505812@DVR-1_Ch2__0,75
426,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007061601500__20121007061602312@DVR-1_Ch2__17,178
427,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007004735281__20121007004736125@DVR-1_Ch2__2,800
428,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__20,60
429,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007074604922__20121007074606750@DVR-1_Ch2__8,800
430,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007021739687__20121007021740469@DVR-1_Ch2__16,290
431,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926164100360__20120926164100719@DVR-1_Ch2__0,800
432,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007021739687__20121007021740469@DVR-1_Ch2__4,800
433,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923132307000__20120923132307453@DVR-1_Ch2__3,256
434,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923151741031__20120923151743031@DVR-1_Ch2__5,800
435,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926122158641__20120926122159735@DVR-1_Ch2__2,800
436,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007074604922__20121007074606750@DVR-1_Ch2__1,800
437,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923151741031__20120923151743031@DVR-1_Ch2__0,800
438,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923190412047__20120923190412953@DVR-1_Ch2__0,800
439,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927091433704__20120927091436594@DVR-1_Ch2__14,800
440,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923190412047__20120923190412953@DVR-1_Ch2__15,800
441,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007074604922__20121007074606750@DVR-1_Ch2__9,800
442,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923112913625__20120923112914391@DVR-1_Ch2__7,800
443,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927200512782__20120927200513157@DVR-1_Ch2__26,800
444,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__1,800
445,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007100538579__20121007100539375@DVR-1_Ch2__2,800
446,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007041743672__20121007041744453@DVR-1_Ch2__6,800
447,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__21,76
448,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007011736922__20121007011737719@DVR-1_Ch2__0,90
449,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926152214375__20120926152214766@DVR-1_Ch2__0,800
450,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007091608734__20121007091610593@DVR-1_Ch2__8,800
451,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923170028719__20120923170030282@DVR-1_Ch2__12,117
452,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927222429453__20120927222429891@DVR-1_Ch2__0,800
453,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923160026985__20120923160027532@DVR-1_Ch2__4,800
454,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927071712735__20120927071713125@DVR-1_Ch2__0,800
455,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927174207078__20120927174207859@DVR-1_Ch2__0,800
456,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923222130797__20120923222131688@DVR-1_Ch2__15,720
457,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923112913625__20120923112914391@DVR-1_Ch2__2,194
458,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923212128015__20120923212128422@DVR-1_Ch2__19,221
459,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007031741969__20121007031742766@DVR-1_Ch2__9,800
460,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007041743672__20121007041744453@DVR-1_Ch2__9,584
461,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007014738062__20121007014738859@DVR-1_Ch2__15,358
462,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926094941046__20120926094942000@DVR-1_Ch2__1,800
463,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120924003102032__20120924003102719@DVR-1_Ch2__15,800
464,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120924003102032__20120924003102719@DVR-1_Ch2__16,800
465,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007100538579__20121007100539375@DVR-1_Ch2__1,261
466,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923160026985__20120923160027532@DVR-1_Ch2__0,800
467,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007014738062__20121007014738859@DVR-1_Ch2__2,93
468,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120927113430656__20120927113431734@DVR-1_Ch2__14,800
469,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923112913625__20120923112914391@DVR-1_Ch2__5,444
470,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007084607641__20121007084609484@DVR-1_Ch2__0,564
471,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007093537875__20121007093538234@DVR-1_Ch2__0,800
472,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007044745828__20121007044746610@DVR-1_Ch2__1,744
473,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923132307000__20120923132307453@DVR-1_Ch2__2,106
474,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120924003102032__20120924003102719@DVR-1_Ch2__14,800
475,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP155.800-186.495_D__DATA_20120926110653047__20120926110654844@DVR-1_Ch2__0,800
476,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP145.020-155.882_A__DATA_20121007061601500__20121007061602312@DVR-1_Ch2__0,800
477,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923130505000__20120923130505812@DVR-1_Ch2__1,142
478,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/bur/Survey-2-2012__Project 1__IC2__KP130.417-145.077_A__DATA_20120923105912781__20120923105913093@DVR-1_Ch2__0,800
